	CarlosCollectsol	Carlosfind_allso	ChrisRegexbaseds	ChrisRegexinspli	ChrisUsinggroupb	Chriseachsolutio	GSUBreplacequite	Hectorinjectsolu	Idontknowrubyjus	inverseGSUBrepla	scanChris	scanwithblockChr
Bytes 10112	17.269190667776687	17.539291418187116	19.737559825832232	16.336745749426168	23.281969527780614	13.285760205411373	3.5401208247611966	16.382705443146406	0.6532112198903276	33.43973251164666	25.610756426215804	22.73811889272774
Bytes 128	9.991258516161775	12.062765036940702	11.754888282972466	11.198759939568932	10.88467119996969	10.380321644090568	3.2238592491973153	11.665370757279181	0.6132294370205764	6.305704741940305	14.37130032480496	13.63458623088844
Bytes 1600	16.292144257275506	16.399320381214505	17.596433036394902	14.496793918514634	20.85277642154517	12.638144405272683	3.4434287791700986	16.24916049522614	0.6474374682430336	25.420803507532515	24.60934145193724	21.333623392044405
Bytes 16064	16.504046474651798	17.49803274032978	19.07207067831468	15.60492736447023	23.5159049717438	13.25193451707871	3.5672234696143508	16.72633075356136	0.6465218861181319	34.3233069225378	25.43797215170626	22.651528473204564
Bytes 192	12.445441136863852	12.844497396711189	13.765698958983222	13.042292695603475	13.341041729829158	11.293093638680755	3.326696473774634	12.918427926498538	0.6407414143191514	8.705917478217064	17.163908574864266	15.525095164586943
Bytes 2496	16.99186654062524	16.394237783728233	17.331051293333754	15.943099105160817	21.533697912197468	12.62931652645043	3.4175252672744105	16.251810080095506	0.6421727259702582	28.449022921660234	25.387934731045338	22.177759648611993
Bytes 25472	16.831029478682517	17.49137727074565	19.68963742821685	16.648776267258693	23.4875322392938	13.105826081926573	3.5580664436873843	16.91994904976826	0.6123803143321483	34.71770435671256	25.830724582416828	23.0313500801184
Bytes 384	13.858261356051052	14.831755013701565	16.002050341102684	13.823903950140085	16.483668300756975	12.230312448072262	3.3566914756301114	14.672256644941333	0.6348461966501446	13.980510097124458	20.56007582309355	18.742444311193935
Bytes 4032	17.17704992367591	16.51459891352057	18.46583706293124	16.41659694683354	22.506619236208547	13.03962082269734	3.384637855531225	16.460846033665202	0.6349622171284017	30.87092518922361	25.595749645003067	22.722755450384753
Bytes 40320	17.609133033289773	17.576091190590525	18.791559909639705	16.78031024961089	23.617644555756776	12.968430497753722	3.577131906739061	16.471197783348334	0.578954875406958	34.965170538354755	26.314782929368118	22.96928819820941
Bytes 64	8.239875381077857	9.610711379807055	8.126551420926853	8.795767309338785	7.7446298452993245	9.140673861735191	2.94260415199553	9.754886368899088	0.6200711713720115	3.4996299085448745	10.331563269192282	9.438429588123359
Bytes 640	15.812656397184222	15.660628324325806	17.974669015164558	15.01266646919684	18.168428181382364	12.635886134165919	3.4486795640552135	15.195168299382683	0.6485816118569521	18.613482122625893	22.547981765574676	20.264252397996206
Bytes 6400	17.414400023319626	17.49474593942503	18.490244317843718	13.35826920272402	23.084902814032038	12.253028666307188	3.468903776346943	16.822701693262196	0.6643892878300491	32.6548830908239	25.793083321092652	22.81030882690298
Bytes 64000	17.088460571986772	17.307854001476958	20.733064289230995	16.878878066089758	23.935109600625573	13.281886519807534	3.5976660141733054	16.702087428784814	0.5349476865741505	33.99698070567297	24.20927698447869	22.770483354336164
Bytes 960	15.949927720079154	16.0600965778827	18.9442695310941	15.760362861491801	19.943430696504198	12.477706953597542	3.4110852176038122	16.091453424850464	0.6562437781487126	21.93471324737305	23.76328243357618	21.118491726817727
