	CarlosCollectsol	Carlosfind_allso	ChrisRegexbaseds	ChrisRegexinspli	ChrisUsinggroupb	Chriseachsolutio	GSUBreplacequite	HectorORbasedsol	Hectoreach_slice	Hectoreachslicec	Hectorinjectsolu	Idontknowrubyjus	inverseGSUBrepla	scanChris	scanwithblockChr
Bytes 10112	12.961826665279258	12.397111093175546	18.517638173842766	16.355922623051953	19.345264944262798	10.770703827923287	3.518099611231703	4.8637250045778	7.501727326011465	7.333660139389437	12.632463501363176	0.5068832594518456	33.12273755401533	25.5429721758495	20.647242703418573
Bytes 128	9.760098420767465	9.42033361980268	10.817129775827208	11.236985385421958	9.748493301101302	8.717622687009321	3.1618313139301004	3.9553889177373467	5.669605996714002	5.505159096664352	9.479347207073495	0.5084119699894554	6.250314491278132	14.621831034085245	13.509627787885119
Bytes 1600	12.921508994139263	12.010061944893359	17.67010524044423	15.742383005299013	17.59270261273211	10.777166324688935	3.466178354297619	4.8006170197217255	7.3834247606816525	7.0990474660575655	12.306770404198552	0.5255401314500036	25.320005450247233	23.204114032328036	20.709563657158885
Bytes 16064	13.000424362996359	12.349056596787747	18.606358674778832	16.74804439741408	19.530966902890924	10.928425229945166	3.4761199484506338	4.889771947073053	7.192807582152729	7.4594650268621265	12.75927010331321	0.5207052513522216	33.51067454812764	25.265073038837322	21.272188447987823
Bytes 192	10.750042024501283	10.442361576425357	12.67782358632825	12.668021491452208	11.853364820948624	9.437800603217081	3.2864520885921547	4.34774682087901	6.413819074589795	6.229623647132068	10.412673236402524	0.5214486397890788	8.519457127486973	17.20326531785066	15.3826950870528
Bytes 2496	13.057682723099225	11.39674548582928	18.129770539613258	15.955055963689219	18.14533823099576	10.732780895405678	3.461321299640849	4.8297480318143355	7.4319472215816225	7.185157610458917	12.52203602566862	0.5133408286944361	28.285745278911076	24.014060340983917	20.546027788993836
Bytes 25472	13.015390091578682	11.838093693530373	18.522859392827435	16.883056278631102	19.716539731408787	10.772087659719297	3.4873553552554637	4.9004484189903925	7.33752862341556	7.455559206614826	12.729730102776362	0.509409435433874	33.87518402420295	25.06581378022159	21.321367637933776
Bytes 384	11.780050998064365	11.174847625407374	15.107170031768245	14.169322338745909	14.413642723477285	9.976300146857994	3.3647114965516867	4.583943362905104	6.929661350143067	6.72436304118598	11.243491716807206	0.5197292669530684	13.640583613977435	20.257662468304638	17.405328689089032
Bytes 4032	13.119387106337827	11.854831494015508	18.35393732906268	16.4556688089966	18.581975963388068	10.689982187493618	3.5215409740618475	4.858194552619423	7.524839285836526	7.165280171123722	12.58472725815634	0.5148580706783448	30.652066501110568	24.722281578054293	21.487837867917126
Bytes 40320	12.907248965032432	12.202538687072204	18.66210118187461	16.859477062445958	19.591258005783377	10.755595338401335	3.5408695855812606	4.811601305369614	7.3741163048424445	7.375328684120269	12.752622734910762	0.45330942865623136	34.54905204735403	24.757119726512922	21.719125895765842
Bytes 64	8.06135038881202	7.79838036466482	7.29257541265134	8.704190233555355	7.136875616976096	7.496053740260127	2.8623851851066355	3.53813755197147	4.841268549924341	4.675084647746649	7.97228871742243	0.5113939066083364	3.37954350267916	10.388716551187137	9.91895912658847
Bytes 640	12.34070612481964	11.492823225747436	16.384838275603162	14.5335358469069	15.921921928802158	10.254490604593252	3.341648430191691	4.703813692465835	7.120652641951733	6.904133436186827	11.908755229198112	0.5191788714238719	17.980772077901552	21.59101413838236	18.80285904186951
Bytes 6400	12.95849272534635	11.758034498658702	18.394664466714843	16.643219544414748	19.000364820312548	10.946543112848278	3.5322288003753948	4.879859724256361	7.508633955623188	7.358696714740827	12.642755888004197	0.5166208868210102	32.28309978558958	24.6550567531814	21.645868788377626
Bytes 64000	12.908638142411114	12.271848221911055	18.5655738771863	16.982160690479216	19.79552031182174	10.637977897701278	3.5622534716510175	4.76443153342319	7.40766747598006	7.425093567780663	12.767009102774054	0.4445640239342156	34.6663220207006	25.049869723055394	21.76926530764641
Bytes 960	12.677513272878462	11.887523447760671	17.166803472977044	15.606197563416993	16.91410058770859	10.639097011611478	3.4831760482825826	4.726639459351585	7.3567067632500915	7.038922651314622	12.095780766089117	0.5290209812863752	21.467261330173578	22.31592488487286	19.657423675270273
