	Usinggroupbyandc	UsinginjectCarlo	UsinginjectChris	has_keywitheachC
Bytes 10112	23.04780083444115	11.754349274150705	12.487647500297255	11.370677005826039
Bytes 128	8.566574506680528	8.47435925431871	7.742655415432582	9.097092663483231
Bytes 1600	20.07795752000877	10.16823288132938	11.672401377098902	11.929918071679248
Bytes 16064	23.406747115427127	11.7612488526602	12.526659150869204	12.432634414084273
Bytes 192	11.07470625272631	9.620831245019417	8.332464187151302	10.106639748685284
Bytes 2496	19.263979360296375	9.702105774941483	11.598801553394695	11.594359079174444
Bytes 25472	23.70579077989372	11.565542957790445	12.385973694090064	12.178019395442542
Bytes 384	14.320645869647784	8.378537511963367	10.566459237428775	10.869151221422554
Bytes 4032	21.71203864016314	11.193019357152062	11.910896294891195	11.691016317327978
Bytes 40320	23.885941743399695	11.491066721036745	12.264582113009517	12.051962718183972
Bytes 64	5.52835556183787	6.953811009089999	6.072288271968839	7.43673491900734
Bytes 640	16.388421443834673	10.716174236023916	11.114838972702184	10.887926553590123
Bytes 6400	22.09850596090396	10.591370698944434	12.288583183689603	12.383863019995358
Bytes 64000	19.55777725610133	11.325483207976824	12.547509259506342	12.523143446701724
Bytes 960	18.529296662537806	10.885612468619795	11.707534481692093	11.754296413523667
